Petrol_tax,Average_income,Paved_Highways,Population_Driver_licence(%),Petrol_Consumption
9.00,3571,1976,5.250,541
9.00,4092,1250,5.720,524
9.00,3865,1586,5.800,561
7.50,4870,2351,5.290,414
8.00,4399,431,5.440,410
10.00,5342,1333,5.710,457
8.00,5319,11868,4.510,344
8.00,5126,2138,5.530,467
8.00,4447,8577,5.290,464
7.00,4512,8507,5.520,498
8.00,4391,5939,5.300,580
7.50,5126,14186,5.250,471
7.00,4817,6930,5.740,525
7.00,4207,6580,5.450,508
7.00,4332,8159,6.080,566
7.00,4318,10340,5.860,635
7.00,4206,8508,5.720,603
7.00,3718,4725,5.400,714
7.00,4716,5915,7.240,865
8.50,4341,6010,6.770,640
7.00,4593,7834,6.630,649
8.00,4983,602,6.020,540
9.00,4897,2449,5.110,464
9.00,4258,4686,5.170,547
8.50,4574,2619,5.510,460
9.00,3721,4746,5.440,566
8.00,3448,5399,5.480,577
7.50,3846,9061,5.790,631
8.00,4188,5975,5.630,574
9.00,3601,4650,4.930,534
7.00,3640,6905,5.180,571
7.00,3333,6594,5.130,554
8.00,3063,6524,5.780,577
7.50,3357,4121,5.470,628
8.00,3528,3495,4.870,487
6.58,3802,7834,6.290,644
5.00,4045,17782,5.660,640
7.00,3897,6385,5.860,704
8.50,3635,3274,6.630,648
7.00,4345,3905,6.720,968
7.00,4449,4639,6.260,587
7.00,3656,3985,5.630,699
7.00,4300,3635,6.030,632
7.00,3745,2611,5.080,591
6.00,5215,2302,6.720,782
9.00,4476,3942,5.710,510
7.00,4296,4083,6.230,610
7.00,5002,9794,5.930,524
